"","GameDate","AwayTeam","HomeTeam","qtr","min","sec","kickteam","def","down","togo","kicker","ydline","name","distance","homekick","kickdiff","timerem","offscore","defscore","season","GOOD","Missed","Blocked"
"421",20081005,"TEN","BAL",2,30,14,"BAL","TEN",1,15,3,27,"M.Stover",45,1,0,1814,3,3,2008,0,1,0
"535",20081130,"PIT","NE",2,30,21,"NE","PIT",4,9,21,9,"S.Gostkowski",27,1,0,1821,10,10,2008,0,1,0
"355",20081221,"PIT","TEN",2,30,4,"PIT","TEN",2,10,31,15,"Je.Reed",33,0,-3,1804,7,10,2008,0,1,0
"125",20080929,"BAL","PIT",1,45,22,"BAL","PIT",4,8,3,15,"M.Stover",33,0,-3,2722,0,3,2008,1,0,0
"979",20081019,"SD","BUF",4,3,21,"BUF","SD",4,7,5,26,"R.Lindell",44,1,6,201,20,14,2008,1,0,0
"895",20080914,"GB","DET",4,5,21,"GB","DET",4,8,13,21,"M.Crosby",39,0,-1,321,24,25,2008,1,0,0
"450",20080928,"DEN","KC",2,43,9,"KC","DEN",4,14,17,30,"N.Novak",48,1,6,2589,6,0,2008,0,1,0
"75",20081012,"PHI","SF",1,57,38,"SF","PHI",4,6,34,14,"J.Nedney",32,1,0,3458,0,0,2008,1,0,0
"1027",20080921,"CIN","NYG",5,-7,43,"NYG","CIN",2,4,25,4,"J.Carney",22,1,0,-377,23,23,2008,1,0,0
"243",20081207,"MIA","BUF",2,42,18,"MIA","BUF",4,6,19,32,"D.Carpenter",50,0,4,2538,7,3,2008,1,0,0
"212",20080914,"NO","WAS",1,54,20,"WAS","NO",4,11,30,31,"S.Suisham",49,1,0,3260,0,0,2008,0,1,0
"189",20081020,"DEN","NE",1,47,11,"NE","DEN",4,9,21,21,"S.Gostkowski",40,1,3,2831,3,0,2008,1,0,0
"1035",20081102,"GB","TEN",5,-6,41,"TEN","GB",3,2,37,23,"R.Bironas",41,1,0,-319,16,16,2008,1,0,0
"283",20080904,"WAS","NYG",2,32,13,"NYG","WAS",4,5,25,29,"J.Carney",47,1,13,1933,13,0,2008,1,0,0
"860",20080921,"JAC","IND",4,2,36,"JAC","IND",4,4,16,4,"J.Scobee",21,0,3,156,17,14,2008,1,0,0
"411",20081005,"TB","DEN",2,45,0,"DEN","TB",4,7,11,37,"M.Prater",55,1,-3,2700,0,3,2008,1,0,0
"112",20081106,"DEN","CLE",1,58,27,"DEN","CLE",4,7,11,20,"M.Prater",38,0,0,3507,0,0,2008,0,1,0
"61",20081214,"DET","IND",1,49,50,"DET","IND",4,7,12,32,"J.Hanson",51,0,-7,2990,0,7,2008,1,0,0
"966",20081102,"GB","TEN",4,0,4,"TEN","GB",1,10,37,29,"R.Bironas",47,1,0,4,16,16,2008,0,1,0
"54",20080914,"NE","NYJ",1,54,2,"NYJ","NE",4,4,27,13,"J.Feely",31,1,0,3242,0,0,2008,0,1,0
"36",20081109,"NYG","PHI",1,51,48,"NYG","PHI",4,6,25,9,"J.Carney",27,0,0,3108,7,7,2008,1,0,0
"119",20081130,"BAL","CIN",1,51,10,"BAL","CIN",4,2,3,8,"M.Stover",27,0,0,3070,0,0,2008,1,0,0
"827",20081109,"NYG","PHI",4,13,34,"NYG","PHI",4,10,25,10,"J.Carney",28,0,3,814,27,24,2008,1,0,0
"137",20080928,"DEN","KC",1,50,28,"KC","DEN",4,1,17,3,"N.Novak",21,1,3,3028,3,0,2008,1,0,0
"2",20081005,"IND","HOU",1,54,47,"IND","HOU",4,3,15,28,"A.Vinatieri",46,0,0,3287,0,0,2008,1,0,0
"960",20081019,"CLE","WAS",4,0,32,"CLE","WAS",4,10,9,36,"P.Dawson",54,0,-3,32,11,14,2008,0,1,0
"22",20090104,"BAL","MIA",1,53,21,"MIA","BAL",4,1,19,1,"D.Carpenter",19,1,0,3201,0,0,2008,1,0,0
"691",20081026,"OAK","BAL",3,18,22,"BAL","OAK",4,11,3,11,"M.Stover",30,1,16,1102,19,3,2008,1,0,0
"121",20081220,"BAL","DAL",1,51,17,"BAL","DAL",4,7,3,7,"M.Stover",26,0,-7,3077,0,7,2008,1,0,0
"830",20080907,"DET","ATL",4,10,27,"ATL","DET",4,7,2,7,"J.Elam",25,1,10,627,31,21,2008,1,0,0
"70",20081123,"SF","DAL",1,55,53,"SF","DAL",4,7,34,35,"J.Nedney",53,0,0,3353,0,0,2008,0,1,0
"280",20081221,"CAR","NYG",2,30,55,"NYG","CAR",4,6,25,17,"J.Carney",35,1,-11,1855,10,21,2008,1,0,0
"909",20081116,"DEN","ATL",4,15,0,"DEN","ATL",4,2,11,2,"M.Prater",20,0,1,900,14,13,2008,1,0,0
"232",20090104,"PHI","MIN",2,37,38,"PHI","MIN",4,2,29,13,"D.Akers",31,0,-1,2258,6,7,2008,1,0,0
"712",20080907,"ARI","SF",3,23,29,"ARI","SF",4,13,1,13,"N.Rackers",31,0,0,1409,10,10,2008,1,0,0
"845",20081005,"KC","CAR",4,13,9,"CAR","KC",4,5,6,25,"J.Kasay",43,1,31,789,31,0,2008,1,0,0
"596",20080928,"PHI","CHI",3,19,27,"PHI","CHI",4,6,29,6,"D.Akers",24,0,-7,1167,14,21,2008,1,0,0
"580",20080914,"NO","WAS",2,35,23,"WAS","NO",4,2,30,12,"S.Suisham",30,1,-1,2123,6,7,2008,0,1,0
"646",20081123,"SF","DAL",3,23,27,"SF","DAL",4,3,34,18,"J.Nedney",35,0,-23,1407,6,29,2008,1,0,0
"889",20081116,"MIN","TB",4,5,41,"TB","MIN",4,2,36,11,"M.Bryant",29,1,0,341,13,13,2008,1,0,0
"557",20081005,"CIN","DAL",2,38,19,"CIN","DAL",4,6,8,23,"S.Graham",41,0,-17,2299,0,17,2008,1,0,0
"108",20081006,"MIN","NO",1,48,2,"NO","MIN",4,10,22,17,"M.Gramatica",35,1,7,2882,7,0,2008,1,0,0
"20",20081102,"MIA","DEN",1,51,1,"MIA","DEN",4,9,19,29,"D.Carpenter",47,0,3,3061,3,0,2008,1,0,0
"629",20080914,"ATL","TB",3,16,7,"ATL","TB",4,6,2,9,"J.Elam",27,0,-14,967,3,17,2008,1,0,0
"173",20081005,"CHI","DET",1,51,52,"CHI","DET",4,11,7,19,"R.Gould",37,0,0,3112,0,0,2008,1,0,0
"597",20080928,"PHI","CHI",3,23,6,"PHI","CHI",4,4,29,29,"D.Akers",47,0,-7,1386,14,21,2008,0,1,0
"613",20081026,"STL","NE",3,23,8,"STL","NE",4,3,35,26,"J.Brown",44,0,-3,1388,10,13,2008,1,0,0
"966.1",20081102,"GB","TEN",4,0,4,"TEN","GB",1,10,37,29,"R.Bironas",47,1,0,4,16,16,2008,0,1,0
"553",20080928,"CLE","CIN",2,40,26,"CIN","CLE",4,9,8,25,"S.Graham",42,1,-3,2426,0,3,2008,1,0,0
"838",20080928,"ARI","NYJ",4,3,11,"NYJ","ARI",4,8,27,26,"J.Feely",44,1,13,191,48,35,2008,0,1,0
"952",20081117,"CLE","BUF",4,1,44,"CLE","BUF",4,10,9,39,"P.Dawson",56,0,-1,104,26,27,2008,1,0,0
"901",20081109,"GB","MIN",4,6,0,"GB","MIN",4,5,13,22,"M.Crosby",40,0,-11,360,10,21,2008,1,0,0
"639",20081123,"CAR","ATL",3,20,30,"CAR","ATL",4,2,6,3,"J.Kasay",21,0,-7,1230,10,17,2008,1,0,0
"893",20081222,"GB","CHI",4,13,2,"GB","CHI",4,10,13,10,"M.Crosby",28,0,4,782,14,10,2008,1,0,0
"256",20080921,"STL","SEA",2,32,55,"STL","SEA",4,6,35,11,"J.Brown",29,0,-21,1975,3,24,2008,1,0,0
"905",20080921,"NO","DEN",4,2,0,"NO","DEN",4,2,22,25,"M.Gramatica",43,0,-2,120,32,34,2008,0,1,0
"62",20081208,"TB","CAR",1,53,53,"CAR","TB",4,15,6,16,"J.Kasay",33,1,0,3233,0,0,2008,1,0,0
"276",20080904,"WAS","NYG",2,41,3,"NYG","WAS",4,4,25,6,"J.Carney",25,1,10,2463,10,0,2008,1,0,0
"340",20081123,"MIN","JAC",2,42,32,"JAC","MIN",4,3,16,3,"J.Scobee",21,1,-10,2552,7,17,2008,1,0,0
"115",20081228,"JAC","BAL",1,54,36,"BAL","JAC",4,14,3,14,"M.Stover",32,1,0,3276,0,0,2008,1,0,0
"416",20080907,"CIN","BAL",2,31,46,"BAL","CIN",4,3,3,3,"M.Stover",21,1,7,1906,7,0,2008,1,0,0
"856",20081207,"NYJ","SF",4,14,47,"SF","NYJ",4,10,34,14,"J.Nedney",32,1,0,887,14,14,2008,1,0,0
"189.1",20081020,"DEN","NE",1,47,11,"NE","DEN",4,9,21,21,"S.Gostkowski",40,1,3,2831,3,0,2008,1,0,0
"1036",20081211,"NO","CHI",5,-3,19,"CHI","NO",2,13,7,18,"R.Gould",35,1,0,-161,24,24,2008,1,0,0
"465",20081116,"ARI","SEA",2,30,5,"ARI","SEA",3,2,1,36,"N.Rackers",54,0,6,1805,13,7,2008,1,0,0
"556",20081005,"CIN","DAL",2,30,37,"CIN","DAL",4,6,8,13,"S.Graham",31,0,-14,1837,3,17,2008,1,0,0
"643",20080914,"CHI","CAR",3,20,27,"CAR","CHI",4,6,6,28,"J.Kasay",45,1,-14,1227,3,17,2008,1,0,0
"677",20081005,"ATL","GB",3,15,32,"GB","ATL",4,2,13,32,"M.Crosby",50,1,-10,932,7,17,2008,1,0,0
"790",20080921,"PIT","PHI",4,2,30,"PHI","PIT",4,5,29,13,"D.Akers",31,1,6,150,12,6,2008,1,0,0
"707",20080928,"DEN","KC",3,23,47,"KC","DEN",4,6,17,25,"N.Novak",43,1,0,1427,13,13,2008,1,0,0
"139",20081110,"SF","ARI",1,54,50,"ARI","SF",4,2,1,10,"N.Rackers",28,1,0,3290,0,0,2008,1,0,0
"724",20081117,"CLE","BUF",3,21,32,"CLE","BUF",4,9,9,26,"P.Dawson",43,0,3,1292,13,10,2008,1,0,0
"62.1",20081208,"TB","CAR",1,53,53,"CAR","TB",4,15,6,16,"J.Kasay",33,1,0,3233,0,0,2008,1,0,0
